sku,title,name,creator,art_series,price,reservable,symbol,type,likes,cid,path,tags
0014,Avarice,Avarice,lizano,lizano_avarice_avarice,20,TRUE,SWAP.HIVE,PHOTO,0,QmNiRqeW84jnEbN8wVCcsyXc8f6HgX5aHEScBaTkqWmvpp,image/QmNiRqeW84jnEbN8wVCcsyXc8f6HgX5aHEScBaTkqWmvpp.jpg,"['Eyebrow', 'Eye', 'Eyelash', 'Jaw', 'Neck', 'Gesture', 'Art', 'Cg artwork', 'Black hair', 'Painting']"
0015,From the corners of my mind,A little bit of Mercy please,orianabeam,orianabeam_from-the-corners-of-my-mind_a-little-bit-of-mercy-please,25,TRUE,SWAP.HIVE,PHOTO,0,QmQWykiSvoYKtTM1SznM4aDGNmciiRLEWNkCEoP2L8zR65,image/QmQWykiSvoYKtTM1SznM4aDGNmciiRLEWNkCEoP2L8zR65.jpg,"['Hand', 'Photograph', 'White', 'Black', 'Finger', 'Black-and-white', 'Art', 'Gesture', 'Style', 'Thumb']"
0016,CryptoArts,Dream of A Child,xxxthorxxx,xxxthorxxx_cryptoarts_dream-of-a-child,50,TRUE,SWAP.HIVE,PHOTO,0,QmU1kCAghsy5DCaWP79atdRzYDhvAYddFvVbuLPK4hAxUy,image/QmU1kCAghsy5DCaWP79atdRzYDhvAYddFvVbuLPK4hAxUy.jpg,"['Vertebrate', 'Human', 'Human body', 'Bird', 'Organism', 'Mammal', 'Hat', 'Gesture', 'Font', 'Art']"
0017,Mística,Místicismo,alfonsoj,alfonsoj_mistica_misticismo,50,TRUE,SWAP.HIVE,PHOTO,0,QmQ9zjvq63ytyXmRhmEX28eGK2DqmLvuekPyJqh36kkV9e,image/QmQ9zjvq63ytyXmRhmEX28eGK2DqmLvuekPyJqh36kkV9e.jpg,"['Liquid', 'White', 'Purple', 'Azure', 'Painting', 'Felidae', 'Carnivore', 'Art', 'Violet', 'Paint']"
0018,CryptoArts,Satan Lover,xxxthorxxx,xxxthorxxx_cryptoarts_satan-lover,50,TRUE,SWAP.HIVE,PHOTO,0,QmU3yyccbWK2xRhBqnaUyhTKZZ1YxPrALnJGbsjeDDF9JD,image/QmU3yyccbWK2xRhBqnaUyhTKZZ1YxPrALnJGbsjeDDF9JD.jpg,"['Head', 'Organism', 'Painting', 'Art', 'Supernatural creature', 'Poster', 'Red', 'Cg artwork', 'Illustration', 'Fictional character']"
0019,Drawings,Ancient MU,trayan,trayan_drawings_ancient-mu,9,TRUE,SWAP.HIVE,PHOTO,0,QmRMHWsY536sBj3piLN8qndyb7Xae62goktDrXBMuXb1nZ,image/QmRMHWsY536sBj3piLN8qndyb7Xae62goktDrXBMuXb1nZ.jpg,"['Paint', 'Rectangle', 'Art paint', 'Organism', 'Painting', 'Art', 'Pollinator', 'Mushroom', 'Insect', 'Creative arts']"
0020,Simplicity,Grow,leslieebano,leslieebano_simplicity_grow,10,TRUE,SWAP.HIVE,PHOTO,0,QmXwPqsBZ31Sc1nejfGMGU1A3Sf6HPhVpX2h66TtqF63M1,image/QmXwPqsBZ31Sc1nejfGMGU1A3Sf6HPhVpX2h66TtqF63M1.jpg,"['Nature', 'Organism', 'Happy', 'Art', 'Font', 'People in nature', 'Material property', 'Circle', 'Magenta', 'Pattern']"
0021,CryptoArts,The Snail In the Rain,xxxthorxxx,xxxthorxxx_cryptoarts_the-snail-in-the-rain,30,TRUE,SWAP.HIVE,PHOTO,0,QmducSs5RFtwasBnjx8p1e4H4Uw9mYooAVtBLQoSMJyrTk,image/QmducSs5RFtwasBnjx8p1e4H4Uw9mYooAVtBLQoSMJyrTk.jpg,"['Water', 'Azure', 'Blue', 'Art', 'Font', 'Painting', 'Aqua', 'Happy', 'Graffiti', 'Illustration']"
0022,About Heraklion ,"Reality & Dream in front of Koules, Heraklion Crete",katerinaramm,katerinaramm_about-heraklion_reality-dream-in-front-of-koules-heraklion-crete,80,TRUE,SWAP.HIVE,PHOTO,0,QmX2CcqS6b5yeUuYqePApb9dzVbJVJKZ1XEeKnsh6Ltjwa,image/QmX2CcqS6b5yeUuYqePApb9dzVbJVJKZ1XEeKnsh6Ltjwa.jpg,"['Water', 'Sky', 'Azure', 'Body of water', 'Naval architecture', 'Travel', 'Leisure', 'Lake', 'Morning', 'Outdoor furniture']"
0023,white owl,white owl,elenasteem,elenasteem_white-owl_white-owl,50,TRUE,SWAP.HIVE,PHOTO,0,QmZ87ZfVxBB3D1myFKzQxrHv9sJf3bKbuZf2M1TWJwjDeL,image/QmZ87ZfVxBB3D1myFKzQxrHv9sJf3bKbuZf2M1TWJwjDeL.jpg,"['Hair', 'Head', 'Bird', 'Eye', 'Owl', 'Beak', 'Human body', 'Neck', 'Feather', 'Iris']"
0024,CryptoArts,Cuts and Wounds,xxxthorxxx,xxxthorxxx_cryptoarts_cuts-and-wounds,20,TRUE,SWAP.HIVE,PHOTO,0,QmcoYgLiUry31B76ijZwUrUr9dnXCcjafiMvTYa8HGzUoG,image/QmcoYgLiUry31B76ijZwUrUr9dnXCcjafiMvTYa8HGzUoG.jpg,"['Painting', 'Wood', 'Art', 'Monochrome', 'Recreation', 'Illustration', 'Monochrome photography', 'Drawing', 'Visual arts', 'Shadow']"
0025,CryptoArts,Marilyn Monroe - The Zombie,xxxthorxxx,xxxthorxxx_cryptoarts_marilyn-monroe-the-zombie,30,TRUE,SWAP.HIVE,PHOTO,0,QmQQsnwZmZ66vXdkUPRTxKQ5HZoj1LpPW4U4dHi5xMvduU,image/QmQQsnwZmZ66vXdkUPRTxKQ5HZoj1LpPW4U4dHi5xMvduU.jpg,"['Smile', 'Paint', 'Gesture', 'Art', 'Painting', 'Performing arts', 'Entertainment', 'Happy', 'Artist', 'Event']"
0026,CryptoArts,CryptoPunk,xxxthorxxx,xxxthorxxx_cryptoarts_cryptopunk,30,TRUE,SWAP.HIVE,PHOTO,0,QmXZVydGb98W1k9Bjk3wtehxNZSzrQMqzWiea9MakSkPaH,image/QmXZVydGb98W1k9Bjk3wtehxNZSzrQMqzWiea9MakSkPaH.jpg,"['Art paint', 'Paint', 'Artist', 'Painting', 'Art', 'Tints and shades', 'Drawing', 'Visual arts', 'Watercolor paint', 'Illustration']"
